gene.x,gene.y,weight.Integrated_score,evidence: CCMI,evidence: Co-dependence,evidence: mRNA co-expression,evidence: Physical,evidence: Protein co-expression,evidence: Sequence similarity,Integrated score,interaction,name,selected,shared interaction,shared name
RBM10,SART1,0.286,0,0.012,0.318,0.403,0.324,0.006,0.286,interacts-with,RBM10 (interacts-with) SART1,FALSE,interacts-with,RBM10 (interacts-with) SART1
RBM10,SART3,0.256,0,0.011,0.354,0.241,0.251,0.092,0.256,interacts-with,RBM10 (interacts-with) SART3,FALSE,interacts-with,RBM10 (interacts-with) SART3
RBM10,SNRPA,0.45,0,0.012,0.446,0.439,0.396,0.002,0.45,interacts-with,RBM10 (interacts-with) SNRPA,FALSE,interacts-with,RBM10 (interacts-with) SNRPA
RBM10,SNRNP200,0.327,0,0.012,0.437,0.404,0.341,0.084,0.327,interacts-with,RBM10 (interacts-with) SNRNP200,FALSE,interacts-with,RBM10 (interacts-with) SNRNP200
RBM10,USP39,0.259,0,0.004,0.327,0.129,0.427,0.014,0.259,interacts-with,RBM10 (interacts-with) USP39,FALSE,interacts-with,RBM10 (interacts-with) USP39
RBM10,ZC3H18,0.189,0,0.011,0.369,0.171,0.177,0.08,0.189,interacts-with,RBM10 (interacts-with) ZC3H18,FALSE,interacts-with,RBM10 (interacts-with) ZC3H18
RBM12B,SLTM,0.255,0,0.024,0.272,0.325,0.356,0.036,0.255,interacts-with,RBM12B (interacts-with) SLTM,FALSE,interacts-with,RBM12B (interacts-with) SLTM
MYCBP2,SBF1,0.186,0,0.011,0.288,0.29,0.082,0.152,0.186,interacts-with,MYCBP2 (interacts-with) SBF1,FALSE,interacts-with,MYCBP2 (interacts-with) SBF1
RBM12B,TNPO1,0.204,0,0.048,0.177,0.231,0.259,0.036,0.204,interacts-with,RBM12B (interacts-with) TNPO1,FALSE,interacts-with,RBM12B (interacts-with) TNPO1
RBM12B,TNPO2,0.2,0,0.078,0.233,0.165,0.364,0.036,0.2,interacts-with,RBM12B (interacts-with) TNPO2,FALSE,interacts-with,RBM12B (interacts-with) TNPO2
RBM12B,TTF2,0.214,0,0.023,0.255,0.312,0.253,0.036,0.214,interacts-with,RBM12B (interacts-with) TTF2,FALSE,interacts-with,RBM12B (interacts-with) TTF2
RBM12B,XPO5,0.234,0,0.091,0.3,0.214,0.344,0.036,0.234,interacts-with,RBM12B (interacts-with) XPO5,FALSE,interacts-with,RBM12B (interacts-with) XPO5
RBM12B,WTAP,0.201,0,0.064,0.249,0.32,0.317,0.036,0.201,interacts-with,RBM12B (interacts-with) WTAP,FALSE,interacts-with,RBM12B (interacts-with) WTAP
RBM12B,ZC3H13,0.243,0,0.128,0.231,0.277,0.362,0.036,0.243,interacts-with,RBM12B (interacts-with) ZC3H13,FALSE,interacts-with,RBM12B (interacts-with) ZC3H13
RBM15,RBM15B,0.548,0,0.165,0.13,0.537,0.356,0.013,0.548,interacts-with,RBM15 (interacts-with) RBM15B,FALSE,interacts-with,RBM15 (interacts-with) RBM15B
ANKRD11,EP300,0.208,0,0.033,0.327,0.212,0.111,0.011,0.208,interacts-with,ANKRD11 (interacts-with) EP300,FALSE,interacts-with,ANKRD11 (interacts-with) EP300
ANKRD11,GPS2,0.32,0,0.236,0.141,0.452,0.121,0.016,0.32,interacts-with,ANKRD11 (interacts-with) GPS2,FALSE,interacts-with,ANKRD11 (interacts-with) GPS2
MYH9,MYH10,0.614,0,0.088,0.196,0.441,0.51,0.095,0.614,interacts-with,MYH9 (interacts-with) MYH10,FALSE,interacts-with,MYH9 (interacts-with) MYH10
MYH9,MYH14,0.222,0,0.08,0.224,0.094,0.468,0.086,0.222,interacts-with,MYH9 (interacts-with) MYH14,FALSE,interacts-with,MYH9 (interacts-with) MYH14
ANKRD11,HDAC3,0.619,0,0.389,0.192,0.546,0.183,0.123,0.619,interacts-with,ANKRD11 (interacts-with) HDAC3,FALSE,interacts-with,ANKRD11 (interacts-with) HDAC3
MYH9,MYO18A,0.397,0,0.141,0.152,0.443,0.352,0,0.397,interacts-with,MYH9 (interacts-with) MYO18A,FALSE,interacts-with,MYH9 (interacts-with) MYO18A
MYH9,MYO1B,0.326,0,0.124,0.242,0.419,0.362,0.002,0.326,interacts-with,MYH9 (interacts-with) MYO1B,FALSE,interacts-with,MYH9 (interacts-with) MYO1B
MYH9,MYO1C,0.618,0,0.05,0.325,0.523,0.412,0.014,0.618,interacts-with,MYH9 (interacts-with) MYO1C,FALSE,interacts-with,MYH9 (interacts-with) MYO1C
MYH9,MYO5C,0.266,0,0.057,0.192,0.42,0.114,0.489,0.266,interacts-with,MYH9 (interacts-with) MYO5C,FALSE,interacts-with,MYH9 (interacts-with) MYO5C
MYH9,MYO5B,0.436,0,0.141,0.155,0.488,0.083,0.37,0.436,interacts-with,MYH9 (interacts-with) MYO5B,FALSE,interacts-with,MYH9 (interacts-with) MYO5B
MYH9,MYO1E,0.375,0,0.045,0.274,0.419,0.411,0.447,0.375,interacts-with,MYH9 (interacts-with) MYO1E,FALSE,interacts-with,MYH9 (interacts-with) MYO1E
RBM15B,WTAP,0.355,0,0.027,0.208,0.407,0.333,0.112,0.355,interacts-with,RBM15B (interacts-with) WTAP,FALSE,interacts-with,RBM15B (interacts-with) WTAP
ANKRD11,NCOA3,0.431,0,0.109,0.191,0.469,0.104,0.011,0.431,interacts-with,ANKRD11 (interacts-with) NCOA3,FALSE,interacts-with,ANKRD11 (interacts-with) NCOA3
ANKRD11,NCOR2,0.442,0,0.058,0.266,0.482,0.21,0,0.442,interacts-with,ANKRD11 (interacts-with) NCOR2,FALSE,interacts-with,ANKRD11 (interacts-with) NCOR2
ANKRD11,NCOR1,0.296,0,0.246,0.216,0.428,0.142,0.013,0.296,interacts-with,ANKRD11 (interacts-with) NCOR1,FALSE,interacts-with,ANKRD11 (interacts-with) NCOR1
MYH9,NEXN,0.463,0,0.07,0.338,0.432,0.572,0.102,0.463,interacts-with,MYH9 (interacts-with) NEXN,FALSE,interacts-with,MYH9 (interacts-with) NEXN
MYH9,PLEC,0.502,0,0.022,0.321,0.468,0.45,0.179,0.502,interacts-with,MYH9 (interacts-with) PLEC,FALSE,interacts-with,MYH9 (interacts-with) PLEC
MYH9,PLEKHG3,0.284,0,0.04,0.225,0.434,0.116,0.036,0.284,interacts-with,MYH9 (interacts-with) PLEKHG3,FALSE,interacts-with,MYH9 (interacts-with) PLEKHG3
MYH9,PPP1R12A,0.55,0,0.037,0.232,0.476,0.4,0.551,0.55,interacts-with,MYH9 (interacts-with) PPP1R12A,FALSE,interacts-with,MYH9 (interacts-with) PPP1R12A
MYH9,PPP1R9B,0.387,0,0.004,0.268,0.447,0.194,0.089,0.387,interacts-with,MYH9 (interacts-with) PPP1R9B,FALSE,interacts-with,MYH9 (interacts-with) PPP1R9B
ANKRD11,TBL1XR1,0.219,0,0.049,0.171,0.43,0.101,0.004,0.219,interacts-with,ANKRD11 (interacts-with) TBL1XR1,FALSE,interacts-with,ANKRD11 (interacts-with) TBL1XR1
MYH9,RAI14,0.511,0,0.094,0.273,0.472,0.432,0.014,0.511,interacts-with,MYH9 (interacts-with) RAI14,FALSE,interacts-with,MYH9 (interacts-with) RAI14
MYH9,SIPA1L1,0.3,0,0.024,0.295,0.412,0.161,0.036,0.3,interacts-with,MYH9 (interacts-with) SIPA1L1,FALSE,interacts-with,MYH9 (interacts-with) SIPA1L1
MYH9,SPTBN1,0.438,0,0.046,0.211,0.471,0.164,0.116,0.438,interacts-with,MYH9 (interacts-with) SPTBN1,FALSE,interacts-with,MYH9 (interacts-with) SPTBN1
MYH9,SPECC1,0.35,0,0.067,0.138,0.424,0.347,0.036,0.35,interacts-with,MYH9 (interacts-with) SPECC1,FALSE,interacts-with,MYH9 (interacts-with) SPECC1
MYH9,SVIL,0.367,0,0.156,0.216,0.448,0.264,0,0.367,interacts-with,MYH9 (interacts-with) SVIL,FALSE,interacts-with,MYH9 (interacts-with) SVIL
MYH9,TWF1,0.225,0,0.021,0.179,0.412,0.092,0.095,0.225,interacts-with,MYH9 (interacts-with) TWF1,FALSE,interacts-with,MYH9 (interacts-with) TWF1
MYH9,ZYX,0.305,0,0.029,0.417,0.068,0.499,0.161,0.305,interacts-with,MYH9 (interacts-with) ZYX,FALSE,interacts-with,MYH9 (interacts-with) ZYX
MYH10,MYH14,0.328,0,0.037,0.126,0.368,0.429,0.127,0.328,interacts-with,MYH10 (interacts-with) MYH14,FALSE,interacts-with,MYH10 (interacts-with) MYH14
MYH9,WDR1,0.351,0,0.038,0.409,0.39,0.48,0.006,0.351,interacts-with,MYH9 (interacts-with) WDR1,FALSE,interacts-with,MYH9 (interacts-with) WDR1
MYH10,MYO1B,0.283,0,0.015,0.16,0.362,0.386,0.012,0.283,interacts-with,MYH10 (interacts-with) MYO1B,FALSE,interacts-with,MYH10 (interacts-with) MYO1B
MYH10,MYO1E,0.413,0,0.046,0.094,0.404,0.372,0.447,0.413,interacts-with,MYH10 (interacts-with) MYO1E,FALSE,interacts-with,MYH10 (interacts-with) MYO1E
MYH10,MYO1C,0.438,0,0.199,0.169,0.436,0.353,0.154,0.438,interacts-with,MYH10 (interacts-with) MYO1C,FALSE,interacts-with,MYH10 (interacts-with) MYO1C
MYH10,MYO18A,0.234,0,0.044,0.126,0.399,0.29,0.006,0.234,interacts-with,MYH10 (interacts-with) MYO18A,FALSE,interacts-with,MYH10 (interacts-with) MYO18A
MYH10,MYO5C,0.369,0,0.021,0.13,0.405,0.144,0.451,0.369,interacts-with,MYH10 (interacts-with) MYO5C,FALSE,interacts-with,MYH10 (interacts-with) MYO5C
MYH10,PPP1R12A,0.537,0,0.051,0.204,0.34,0.377,0.55,0.537,interacts-with,MYH10 (interacts-with) PPP1R12A,FALSE,interacts-with,MYH10 (interacts-with) PPP1R12A
MYH10,PLEC,0.239,0,0.037,0.126,0.244,0.404,0,0.239,interacts-with,MYH10 (interacts-with) PLEC,FALSE,interacts-with,MYH10 (interacts-with) PLEC
MYH10,RAI14,0.327,0,0.066,0.206,0.406,0.371,0.07,0.327,interacts-with,MYH10 (interacts-with) RAI14,FALSE,interacts-with,MYH10 (interacts-with) RAI14
MYH10,SPECC1,0.312,0,0.047,0.23,0.42,0.401,0.036,0.312,interacts-with,MYH10 (interacts-with) SPECC1,FALSE,interacts-with,MYH10 (interacts-with) SPECC1
MYH10,SVIL,0.301,0,0.028,0.181,0.412,0.333,0.09,0.301,interacts-with,MYH10 (interacts-with) SVIL,FALSE,interacts-with,MYH10 (interacts-with) SVIL
MYH14,PPP1R12A,0.317,0,0.023,0.175,0.068,0.229,0.548,0.317,interacts-with,MYH14 (interacts-with) PPP1R12A,FALSE,interacts-with,MYH14 (interacts-with) PPP1R12A
MYH14,MYO1E,0.344,0,0.022,0.141,0.099,0.278,0.423,0.344,interacts-with,MYH14 (interacts-with) MYO1E,FALSE,interacts-with,MYH14 (interacts-with) MYO1E
MYH14,MYO5C,0.185,0,0.168,0.131,0.098,0.154,0.346,0.185,interacts-with,MYH14 (interacts-with) MYO5C,FALSE,interacts-with,MYH14 (interacts-with) MYO5C
ANKRD17,GIGYF2,0.344,0,0.061,0.433,0.212,0.171,0.006,0.344,interacts-with,ANKRD17 (interacts-with) GIGYF2,FALSE,interacts-with,ANKRD17 (interacts-with) GIGYF2
ANKRD17,IPO9,0.201,0,0.362,0.344,0.067,0.208,0.118,0.201,interacts-with,ANKRD17 (interacts-with) IPO9,FALSE,interacts-with,ANKRD17 (interacts-with) IPO9
ANKRD17,KPNA4,0.193,0,0.219,0.192,0.229,0.236,0.009,0.193,interacts-with,ANKRD17 (interacts-with) KPNA4,FALSE,interacts-with,ANKRD17 (interacts-with) KPNA4
ANKRD17,KPNA3,0.207,0,0.037,0.228,0.227,0.228,0.004,0.207,interacts-with,ANKRD17 (interacts-with) KPNA3,FALSE,interacts-with,ANKRD17 (interacts-with) KPNA3
ANKRD17,XPO1,0.185,0,0.003,0.291,0.17,0.216,0.001,0.185,interacts-with,ANKRD17 (interacts-with) XPO1,FALSE,interacts-with,ANKRD17 (interacts-with) XPO1
ANKRD17,XPO7,0.212,0,0.046,0.316,0.222,0.153,0.1,0.212,interacts-with,ANKRD17 (interacts-with) XPO7,FALSE,interacts-with,ANKRD17 (interacts-with) XPO7
MYO1B,RAI14,0.253,0,0.003,0.278,0.291,0.338,0.008,0.253,interacts-with,MYO1B (interacts-with) RAI14,FALSE,interacts-with,MYO1B (interacts-with) RAI14
MYO1B,PLEKHG3,0.2,0,0.013,0.237,0.395,0.1,0.036,0.2,interacts-with,MYO1B (interacts-with) PLEKHG3,FALSE,interacts-with,MYO1B (interacts-with) PLEKHG3
MYO1B,PLEC,0.2,0,0.149,0.187,0.361,0.31,0.013,0.2,interacts-with,MYO1B (interacts-with) PLEC,FALSE,interacts-with,MYO1B (interacts-with) PLEC
MYO1B,PPP1R12A,0.214,0,0.033,0.131,0.401,0.267,0.012,0.214,interacts-with,MYO1B (interacts-with) PPP1R12A,FALSE,interacts-with,MYO1B (interacts-with) PPP1R12A
MYO1B,SVIL,0.224,0,0.047,0.253,0.39,0.261,0.009,0.224,interacts-with,MYO1B (interacts-with) SVIL,FALSE,interacts-with,MYO1B (interacts-with) SVIL
MYO1B,MYO1E,0.192,0,0.022,0.182,0.303,0.309,0.014,0.192,interacts-with,MYO1B (interacts-with) MYO1E,FALSE,interacts-with,MYO1B (interacts-with) MYO1E
MYO1B,MYO1C,0.238,0,0.053,0.166,0.39,0.251,0.129,0.238,interacts-with,MYO1B (interacts-with) MYO1C,FALSE,interacts-with,MYO1B (interacts-with) MYO1C
MYO1B,MYO5B,0.245,0,0.028,0.145,0.422,0.143,0.37,0.245,interacts-with,MYO1B (interacts-with) MYO5B,FALSE,interacts-with,MYO1B (interacts-with) MYO5B
MYO1B,MYO18A,0.206,0,0.076,0.119,0.411,0.255,0.08,0.206,interacts-with,MYO1B (interacts-with) MYO18A,FALSE,interacts-with,MYO1B (interacts-with) MYO18A
MYO1B,MYO5C,0.181,0,0.022,0.123,0.391,0.148,0.088,0.181,interacts-with,MYO1B (interacts-with) MYO5C,FALSE,interacts-with,MYO1B (interacts-with) MYO5C
MYO1B,TWF1,0.19,0,0.061,0.22,0.357,0.097,0.133,0.19,interacts-with,MYO1B (interacts-with) TWF1,FALSE,interacts-with,MYO1B (interacts-with) TWF1
MYO1C,MYO18A,0.307,0,0.067,0.14,0.424,0.295,0.12,0.307,interacts-with,MYO1C (interacts-with) MYO18A,FALSE,interacts-with,MYO1C (interacts-with) MYO18A
MYO1C,MYO1E,0.279,0,0.039,0.286,0.418,0.332,0.1,0.279,interacts-with,MYO1C (interacts-with) MYO1E,FALSE,interacts-with,MYO1C (interacts-with) MYO1E
MYO1C,MYO5C,0.254,0,0.149,0.101,0.44,0.108,0.074,0.254,interacts-with,MYO1C (interacts-with) MYO5C,FALSE,interacts-with,MYO1C (interacts-with) MYO5C
MYO1C,MYO5B,0.413,0,0.158,0.201,0.457,0.098,0.371,0.413,interacts-with,MYO1C (interacts-with) MYO5B,FALSE,interacts-with,MYO1C (interacts-with) MYO5B
MYO1C,PLEKHG3,0.202,0,0.12,0.174,0.409,0.094,0.036,0.202,interacts-with,MYO1C (interacts-with) PLEKHG3,FALSE,interacts-with,MYO1C (interacts-with) PLEKHG3
MYO1C,PLEC,0.311,0,0.171,0.4,0.428,0.317,0.161,0.311,interacts-with,MYO1C (interacts-with) PLEC,FALSE,interacts-with,MYO1C (interacts-with) PLEC
MYO1C,PPP1R12A,0.516,0,0.066,0.251,0.484,0.369,0.132,0.516,interacts-with,MYO1C (interacts-with) PPP1R12A,FALSE,interacts-with,MYO1C (interacts-with) PPP1R12A
MYO1C,PPP1R9B,0.302,0,0.011,0.169,0.439,0.103,0,0.302,interacts-with,MYO1C (interacts-with) PPP1R9B,FALSE,interacts-with,MYO1C (interacts-with) PPP1R9B
MYO1C,RAI14,0.32,0,0.201,0.256,0.436,0.368,0.012,0.32,interacts-with,MYO1C (interacts-with) RAI14,FALSE,interacts-with,MYO1C (interacts-with) RAI14
MYO1C,SIPA1L1,0.402,0,0.067,0.189,0.444,0.086,0.036,0.402,interacts-with,MYO1C (interacts-with) SIPA1L1,FALSE,interacts-with,MYO1C (interacts-with) SIPA1L1
MYO1C,SPTBN1,0.37,0,0.046,0.178,0.44,0.327,0.202,0.37,interacts-with,MYO1C (interacts-with) SPTBN1,FALSE,interacts-with,MYO1C (interacts-with) SPTBN1
MYO1C,SPECC1,0.307,0,0.096,0.209,0.426,0.399,0.036,0.307,interacts-with,MYO1C (interacts-with) SPECC1,FALSE,interacts-with,MYO1C (interacts-with) SPECC1
MYO1C,SVIL,0.414,0,0.042,0.186,0.451,0.292,0.006,0.414,interacts-with,MYO1C (interacts-with) SVIL,FALSE,interacts-with,MYO1C (interacts-with) SVIL
MYO1C,TWF1,0.247,0,0.084,0.36,0.412,0.122,0.083,0.247,interacts-with,MYO1C (interacts-with) TWF1,FALSE,interacts-with,MYO1C (interacts-with) TWF1
MYO1C,WDR1,0.311,0,0.146,0.311,0.177,0.4,0.007,0.311,interacts-with,MYO1C (interacts-with) WDR1,FALSE,interacts-with,MYO1C (interacts-with) WDR1
MYO1D,MYO1E,0.199,0,0.033,0.224,0.065,0.33,0.15,0.199,interacts-with,MYO1D (interacts-with) MYO1E,FALSE,interacts-with,MYO1D (interacts-with) MYO1E
MYO1E,MYO5A,0.513,0,0.04,0.105,0.444,0.246,0.434,0.513,interacts-with,MYO1E (interacts-with) MYO5A,FALSE,interacts-with,MYO1E (interacts-with) MYO5A
MYO1E,MYO18A,0.272,0,0.063,0.143,0.427,0.337,0.004,0.272,interacts-with,MYO1E (interacts-with) MYO18A,FALSE,interacts-with,MYO1E (interacts-with) MYO18A
MYO1E,PPP1R12A,0.316,0,0.074,0.129,0.371,0.425,0.007,0.316,interacts-with,MYO1E (interacts-with) PPP1R12A,FALSE,interacts-with,MYO1E (interacts-with) PPP1R12A
MYO1E,PLEC,0.254,0,0.015,0.316,0.308,0.349,0.011,0.254,interacts-with,MYO1E (interacts-with) PLEC,FALSE,interacts-with,MYO1E (interacts-with) PLEC
MYO1E,SPTBN1,0.226,0,0.156,0.205,0.392,0.227,0.224,0.226,interacts-with,MYO1E (interacts-with) SPTBN1,FALSE,interacts-with,MYO1E (interacts-with) SPTBN1
MYO1E,SPECC1,0.255,0,0.071,0.2,0.411,0.289,0.036,0.255,interacts-with,MYO1E (interacts-with) SPECC1,FALSE,interacts-with,MYO1E (interacts-with) SPECC1
MYO1E,RAI14,0.262,0,0.1,0.217,0.355,0.381,0.007,0.262,interacts-with,MYO1E (interacts-with) RAI14,FALSE,interacts-with,MYO1E (interacts-with) RAI14
MYO1E,TWF1,0.289,0,0.035,0.198,0.434,0.1,0.003,0.289,interacts-with,MYO1E (interacts-with) TWF1,FALSE,interacts-with,MYO1E (interacts-with) TWF1
MYO1E,SVIL,0.216,0,0.047,0.199,0.384,0.248,0.009,0.216,interacts-with,MYO1E (interacts-with) SVIL,FALSE,interacts-with,MYO1E (interacts-with) SVIL
MYO1E,WDR1,0.363,0,0.057,0.213,0.405,0.377,0.074,0.363,interacts-with,MYO1E (interacts-with) WDR1,FALSE,interacts-with,MYO1E (interacts-with) WDR1
MYO5A,PPP1R9B,0.293,0,0.004,0.32,0.416,0.117,0.115,0.293,interacts-with,MYO5A (interacts-with) PPP1R9B,FALSE,interacts-with,MYO5A (interacts-with) PPP1R9B
MYO5A,PPP1R12A,0.244,0,0.07,0.262,0.407,0.239,0.105,0.244,interacts-with,MYO5A (interacts-with) PPP1R12A,FALSE,interacts-with,MYO5A (interacts-with) PPP1R12A
MYO5A,SIPA1L1,0.218,0,0.079,0.255,0.403,0.123,0.036,0.218,interacts-with,MYO5A (interacts-with) SIPA1L1,FALSE,interacts-with,MYO5A (interacts-with) SIPA1L1
MYO5A,SPTBN1,0.302,0,0.014,0.178,0.438,0.199,0.234,0.302,interacts-with,MYO5A (interacts-with) SPTBN1,FALSE,interacts-with,MYO5A (interacts-with) SPTBN1
MYO5A,SPTAN1,0.28,0,0.022,0.305,0.395,0.086,0.109,0.28,interacts-with,MYO5A (interacts-with) SPTAN1,FALSE,interacts-with,MYO5A (interacts-with) SPTAN1
EP300,GPS2,0.344,0,0.023,0.129,0.457,0.294,0.012,0.344,interacts-with,EP300 (interacts-with) GPS2,FALSE,interacts-with,EP300 (interacts-with) GPS2
MYO5B,MYO5C,0.546,0,0.077,0.166,0.523,0.402,0.417,0.546,interacts-with,MYO5B (interacts-with) MYO5C,FALSE,interacts-with,MYO5B (interacts-with) MYO5C
EP300,HDAC3,0.458,0,0.024,0.203,0.482,0.256,0.16,0.458,interacts-with,EP300 (interacts-with) HDAC3,FALSE,interacts-with,EP300 (interacts-with) HDAC3
MYO5C,MYO18A,0.199,0,0.035,0.206,0.42,0.176,0.078,0.199,interacts-with,MYO5C (interacts-with) MYO18A,FALSE,interacts-with,MYO5C (interacts-with) MYO18A
MYO5B,WDR1,0.191,0,0.062,0.188,0.383,0.113,0.089,0.191,interacts-with,MYO5B (interacts-with) WDR1,FALSE,interacts-with,MYO5B (interacts-with) WDR1
EP300,HUWE1,0.227,0,0.012,0.333,0.171,0.13,0.073,0.227,interacts-with,EP300 (interacts-with) HUWE1,FALSE,interacts-with,EP300 (interacts-with) HUWE1
MYO5C,PPP1R12A,0.193,0,0.091,0.154,0.414,0.086,0,0.193,interacts-with,MYO5C (interacts-with) PPP1R12A,FALSE,interacts-with,MYO5C (interacts-with) PPP1R12A
MYO5B,TMOD1,0.413,0,0.037,0.058,0.508,0.224,0.002,0.413,interacts-with,MYO5B (interacts-with) TMOD1,FALSE,interacts-with,MYO5B (interacts-with) TMOD1
EP300,JUN,0.407,0,0.019,0.163,0.465,0.112,0.007,0.407,interacts-with,EP300 (interacts-with) JUN,FALSE,interacts-with,EP300 (interacts-with) JUN
MYO5B,TWF1,0.212,0,0.09,0.174,0.43,0.109,0.004,0.212,interacts-with,MYO5B (interacts-with) TWF1,FALSE,interacts-with,MYO5B (interacts-with) TWF1
MYO5C,TMOD1,0.329,0,0.022,0.057,0.505,0.143,0.122,0.329,interacts-with,MYO5C (interacts-with) TMOD1,FALSE,interacts-with,MYO5C (interacts-with) TMOD1
MYO5C,TWF1,0.291,0,0.016,0.138,0.444,0.158,0.34,0.291,interacts-with,MYO5C (interacts-with) TWF1,FALSE,interacts-with,MYO5C (interacts-with) TWF1
MYO6,PIK3C2A,0.259,0,0.032,0.256,0.396,0.092,0.118,0.259,interacts-with,MYO6 (interacts-with) PIK3C2A,FALSE,interacts-with,MYO6 (interacts-with) PIK3C2A
MYO6,REPS1,0.254,0,0.017,0.161,0.436,0.177,0.113,0.254,interacts-with,MYO6 (interacts-with) REPS1,FALSE,interacts-with,MYO6 (interacts-with) REPS1
EP300,NCOA1,0.393,0,0.094,0.264,0.451,0.134,0.001,0.393,interacts-with,EP300 (interacts-with) NCOA1,FALSE,interacts-with,EP300 (interacts-with) NCOA1
EP300,NCOA3,0.457,0,0.037,0.34,0.468,0.174,0.102,0.457,interacts-with,EP300 (interacts-with) NCOA3,FALSE,interacts-with,EP300 (interacts-with) NCOA3
EP300,NCOA2,0.495,0,0.03,0.395,0.466,0.186,0.342,0.495,interacts-with,EP300 (interacts-with) NCOA2,FALSE,interacts-with,EP300 (interacts-with) NCOA2
EP300,NCOR2,0.263,0,0.001,0.333,0.224,0.243,0.006,0.263,interacts-with,EP300 (interacts-with) NCOR2,FALSE,interacts-with,EP300 (interacts-with) NCOR2
EP300,NCOR1,0.265,0,0.057,0.402,0.21,0.199,0.075,0.265,interacts-with,EP300 (interacts-with) NCOR1,FALSE,interacts-with,EP300 (interacts-with) NCOR1
MYO18A,SPECC1L,0.311,0,0.043,0.194,0.443,0.183,0.079,0.311,interacts-with,MYO18A (interacts-with) SPECC1L,FALSE,interacts-with,MYO18A (interacts-with) SPECC1L
MYO18A,SPECC1,0.229,0,0.092,0.126,0.424,0.234,0.036,0.229,interacts-with,MYO18A (interacts-with) SPECC1,FALSE,interacts-with,MYO18A (interacts-with) SPECC1
MYO18A,SVIL,0.192,0,0.089,0.127,0.394,0.213,0.094,0.192,interacts-with,MYO18A (interacts-with) SVIL,FALSE,interacts-with,MYO18A (interacts-with) SVIL
MYO18A,SPTBN1,0.288,0,0.108,0.312,0.41,0.117,0.005,0.288,interacts-with,MYO18A (interacts-with) SPTBN1,FALSE,interacts-with,MYO18A (interacts-with) SPTBN1
MYO18A,PLEC,0.223,0,0.176,0.205,0.37,0.291,0.007,0.223,interacts-with,MYO18A (interacts-with) PLEC,FALSE,interacts-with,MYO18A (interacts-with) PLEC
MYO18A,PPP1R12A,0.192,0,0.03,0.163,0.403,0.282,0.012,0.192,interacts-with,MYO18A (interacts-with) PPP1R12A,FALSE,interacts-with,MYO18A (interacts-with) PPP1R12A
MYO18A,WDR1,0.189,0,0.187,0.121,0.359,0.322,0.102,0.189,interacts-with,MYO18A (interacts-with) WDR1,FALSE,interacts-with,MYO18A (interacts-with) WDR1
EP300,RELA,0.428,0,0.02,0.2,0.49,0.218,0.004,0.428,interacts-with,EP300 (interacts-with) RELA,FALSE,interacts-with,EP300 (interacts-with) RELA
EP300,SIRT1,0.41,0,0,0.282,0.472,0.145,0.002,0.41,interacts-with,EP300 (interacts-with) SIRT1,FALSE,interacts-with,EP300 (interacts-with) SIRT1
EP300,TCF7L2,0.24,0,0.068,0.236,0.122,0.095,0.347,0.24,interacts-with,EP300 (interacts-with) TCF7L2,FALSE,interacts-with,EP300 (interacts-with) TCF7L2
EP300,TRIM33,0.238,0,0.025,0.339,0.208,0.26,0.003,0.238,interacts-with,EP300 (interacts-with) TRIM33,FALSE,interacts-with,EP300 (interacts-with) TRIM33
NAA10,NAA15,0.765,0,0.004,0.28,0.462,0.68,0.735,0.765,interacts-with,NAA10 (interacts-with) NAA15,FALSE,interacts-with,NAA10 (interacts-with) NAA15
COLGALT1,CRTAP,0.352,0,0.019,0.328,0.338,0.576,0.007,0.352,interacts-with,COLGALT1 (interacts-with) CRTAP,FALSE,interacts-with,COLGALT1 (interacts-with) CRTAP
NAA10,TIMM8A,0.211,0,0.011,0.369,0.265,0.162,0.015,0.211,interacts-with,NAA10 (interacts-with) TIMM8A,FALSE,interacts-with,NAA10 (interacts-with) TIMM8A
COLGALT1,P3H1,0.303,0,0.002,0.36,0.165,0.582,0.211,0.303,interacts-with,COLGALT1 (interacts-with) P3H1,FALSE,interacts-with,COLGALT1 (interacts-with) P3H1
COLGALT1,P4HA1,0.245,0,0.047,0.191,0.176,0.53,0.006,0.245,interacts-with,COLGALT1 (interacts-with) P4HA1,FALSE,interacts-with,COLGALT1 (interacts-with) P4HA1
COLGALT1,PLOD1,0.409,0,0.071,0.321,0.36,0.631,0.014,0.409,interacts-with,COLGALT1 (interacts-with) PLOD1,FALSE,interacts-with,COLGALT1 (interacts-with) PLOD1
COLGALT1,PLOD3,0.677,0,0.081,0.288,0.538,0.518,0.115,0.677,interacts-with,COLGALT1 (interacts-with) PLOD3,FALSE,interacts-with,COLGALT1 (interacts-with) PLOD3
RCOR1,RCOR2,0.51,0,0.044,0.092,0.457,0.544,0.036,0.51,interacts-with,RCOR1 (interacts-with) RCOR2,FALSE,interacts-with,RCOR1 (interacts-with) RCOR2
RCOR1,RCOR3,0.65,0,0.117,0.189,0.503,0.488,0.036,0.65,interacts-with,RCOR1 (interacts-with) RCOR3,FALSE,interacts-with,RCOR1 (interacts-with) RCOR3
RCOR1,SAP30,0.363,0,0.095,0.14,0.447,0.255,0.07,0.363,interacts-with,RCOR1 (interacts-with) SAP30,FALSE,interacts-with,RCOR1 (interacts-with) SAP30
